home_id,current_usage,acc_usage,time
24d3440e-c786-49bd-b454-57049bb389ab,0.000000,0.008595,2021-03-26T23:00:43Z
24d3440e-c786-49bd-b454-57049bb389ab,0.062226,0.070821,2021-03-26T23:05:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.059479,0.130300,2021-03-26T23:10:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.060740,0.191040,2021-03-26T23:15:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.060465,0.251505,2021-03-26T23:20:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.065182,0.316687,2021-03-26T23:25:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.063177,0.379864,2021-03-26T23:30:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.062659,0.442523,2021-03-26T23:35:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.041808,0.484331,2021-03-26T23:40:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.022283,0.506614,2021-03-26T23:45:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.024124,0.530738,2021-03-26T23:50:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.022436,0.553174,2021-03-26T23:55:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.028019,0.581193,2021-03-27T00:00:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.032187,0.613380,2021-03-27T00:05:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.038974,0.652354,2021-03-27T00:10:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.038735,0.691089,2021-03-27T00:15:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.031151,0.722240,2021-03-27T00:20:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.024774,0.747014,2021-03-27T00:25:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.022161,0.769175,2021-03-27T00:30:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.025256,0.794431,2021-03-27T00:35:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.031917,0.826348,2021-03-27T00:40:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.032191,0.858539,2021-03-27T00:45:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.031686,0.890225,2021-03-27T00:50:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.025427,0.915652,2021-03-27T00:55:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.028514,0.944166,2021-03-27T01:01:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.020416,0.964582,2021-03-27T01:05:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.029671,0.994253,2021-03-27T01:10:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.039135,1.033388,2021-03-27T01:15:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.037879,1.071267,2021-03-27T01:20:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.032406,1.103673,2021-03-27T01:25:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.029902,1.133575,2021-03-27T01:30:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.045394,1.178969,2021-03-27T01:35:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.054912,1.233881,2021-03-27T01:40:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.054839,1.288720,2021-03-27T01:45:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.060767,1.349487,2021-03-27T01:50:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.063307,1.412794,2021-03-27T01:55:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.075703,1.488497,2021-03-27T02:01:48Z
24d3440e-c786-49bd-b454-57049bb389ab,0.040359,1.528856,2021-03-27T02:05:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.031420,1.560276,2021-03-27T02:10:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.029351,1.589627,2021-03-27T02:15:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.025104,1.614731,2021-03-27T02:20:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.026949,1.641680,2021-03-27T02:25:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.031872,1.673552,2021-03-27T02:30:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.032124,1.705676,2021-03-27T02:35:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.031579,1.737255,2021-03-27T02:40:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.024988,1.762243,2021-03-27T02:45:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.023494,1.785737,2021-03-27T02:50:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.022715,1.808452,2021-03-27T02:55:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.034458,1.842910,2021-03-27T03:01:40Z
24d3440e-c786-49bd-b454-57049bb389ab,0.030704,1.873614,2021-03-27T03:05:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.038733,1.912347,2021-03-27T03:10:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.034789,1.947136,2021-03-27T03:15:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.027638,1.974774,2021-03-27T03:20:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.023690,1.998464,2021-03-27T03:25:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.023466,2.021930,2021-03-27T03:30:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.021585,2.043515,2021-03-27T03:35:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.032052,2.075567,2021-03-27T03:40:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.032082,2.107649,2021-03-27T03:45:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.031528,2.139177,2021-03-27T03:50:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.031520,2.170697,2021-03-27T03:55:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.054282,2.224979,2021-03-27T04:01:40Z
24d3440e-c786-49bd-b454-57049bb389ab,0.048244,2.273223,2021-03-27T04:05:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.059711,2.332934,2021-03-27T04:10:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.058703,2.391637,2021-03-27T04:15:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.063028,2.454665,2021-03-27T04:20:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.063268,2.517933,2021-03-27T04:25:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.062613,2.580546,2021-03-27T04:30:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.055347,2.635893,2021-03-27T04:35:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.022114,2.658007,2021-03-27T04:40:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.024031,2.682038,2021-03-27T04:45:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.025203,2.707241,2021-03-27T04:50:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.037685,2.744926,2021-03-27T04:55:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.038891,2.783817,2021-03-27T05:00:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.037507,2.821324,2021-03-27T05:05:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.028229,2.849553,2021-03-27T05:10:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.023987,2.873540,2021-03-27T05:15:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.022695,2.896235,2021-03-27T05:20:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.028655,2.924890,2021-03-27T05:25:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.048803,2.973693,2021-03-27T05:30:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.047794,3.021487,2021-03-27T05:35:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.048261,3.069748,2021-03-27T05:40:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.044764,3.114512,2021-03-27T05:45:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.048579,3.163091,2021-03-27T05:50:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.044813,3.207904,2021-03-27T05:55:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.053562,3.261466,2021-03-27T06:01:40Z
24d3440e-c786-49bd-b454-57049bb389ab,0.039187,3.300653,2021-03-27T06:05:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.047240,3.347893,2021-03-27T06:10:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.048197,3.396090,2021-03-27T06:15:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.045504,3.441594,2021-03-27T06:20:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.037390,3.478984,2021-03-27T06:25:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.042124,3.521108,2021-03-27T06:30:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.039706,3.560814,2021-03-27T06:35:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.040730,3.601544,2021-03-27T06:40:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.046701,3.648245,2021-03-27T06:45:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.053030,3.701275,2021-03-27T06:50:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.055384,3.756659,2021-03-27T06:55:41Z
