home_id,current_usage,acc_usage,time
24d3440e-c786-49bd-b454-57049bb389ab,337.828000,0.000000,2021-03-26T00:00:00Z
24d3440e-c786-49bd-b454-57049bb389ab,524.992000,0.000000,2021-03-26T01:00:00Z
24d3440e-c786-49bd-b454-57049bb389ab,402.060000,0.000000,2021-03-26T02:00:00Z
24d3440e-c786-49bd-b454-57049bb389ab,385.427000,0.000000,2021-03-26T03:00:00Z
24d3440e-c786-49bd-b454-57049bb389ab,561.009000,0.000000,2021-03-26T04:00:00Z
24d3440e-c786-49bd-b454-57049bb389ab,459.395000,0.000000,2021-03-26T05:00:00Z
24d3440e-c786-49bd-b454-57049bb389ab,2907.737000,0.000000,2021-03-26T06:00:00Z
24d3440e-c786-49bd-b454-57049bb389ab,658.312000,0.000000,2021-03-26T07:00:00Z
24d3440e-c786-49bd-b454-57049bb389ab,511.584000,0.000000,2021-03-26T08:00:00Z
24d3440e-c786-49bd-b454-57049bb389ab,708.396000,0.000000,2021-03-26T09:00:00Z
24d3440e-c786-49bd-b454-57049bb389ab,844.392000,0.000000,2021-03-26T10:00:00Z
24d3440e-c786-49bd-b454-57049bb389ab,874.390000,0.000000,2021-03-26T11:00:00Z
24d3440e-c786-49bd-b454-57049bb389ab,1127.990000,0.000000,2021-03-26T12:00:00Z
24d3440e-c786-49bd-b454-57049bb389ab,630.675000,0.000000,2021-03-26T13:00:00Z
24d3440e-c786-49bd-b454-57049bb389ab,761.465000,0.000000,2021-03-26T14:00:00Z
24d3440e-c786-49bd-b454-57049bb389ab,747.188000,0.000000,2021-03-26T15:00:00Z
24d3440e-c786-49bd-b454-57049bb389ab,933.930000,0.000000,2021-03-26T16:00:00Z
24d3440e-c786-49bd-b454-57049bb389ab,1274.438000,0.000000,2021-03-26T17:00:00Z
24d3440e-c786-49bd-b454-57049bb389ab,1096.107000,0.000000,2021-03-26T18:00:00Z
24d3440e-c786-49bd-b454-57049bb389ab,1019.449000,0.000000,2021-03-26T19:00:00Z
24d3440e-c786-49bd-b454-57049bb389ab,960.052000,0.000000,2021-03-26T20:00:00Z
24d3440e-c786-49bd-b454-57049bb389ab,911.286000,0.000000,2021-03-26T21:00:00Z
24d3440e-c786-49bd-b454-57049bb389ab,691.502000,0.000000,2021-03-26T22:00:00Z
24d3440e-c786-49bd-b454-57049bb389ab,544.579000,0.000000,2021-03-26T23:00:00Z
24d3440e-c786-49bd-b454-57049bb389ab,362.478000,0.000000,2021-03-27T00:00:00Z
24d3440e-c786-49bd-b454-57049bb389ab,497.142000,0.000000,2021-03-27T01:00:00Z
24d3440e-c786-49bd-b454-57049bb389ab,395.658000,0.000000,2021-03-27T02:00:00Z
24d3440e-c786-49bd-b454-57049bb389ab,362.245000,0.000000,2021-03-27T03:00:00Z
