home_id,current_usage,acc_usage,time
24d3440e-c786-49bd-b454-57049bb389ab,0.000000,1.198197,2021-05-01T00:01:08Z
24d3440e-c786-49bd-b454-57049bb389ab,0.034530,1.232727,2021-05-01T00:05:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.047940,1.280667,2021-05-01T00:10:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.048433,1.329100,2021-05-01T00:15:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.043243,1.372343,2021-05-01T00:20:02Z
24d3440e-c786-49bd-b454-57049bb389ab,0.040525,1.412868,2021-05-01T00:25:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.042435,1.455303,2021-05-01T00:30:04Z
24d3440e-c786-49bd-b454-57049bb389ab,0.044484,1.499787,2021-05-01T00:35:02Z
24d3440e-c786-49bd-b454-57049bb389ab,0.044606,1.544393,2021-05-01T00:40:02Z
24d3440e-c786-49bd-b454-57049bb389ab,0.045639,1.590032,2021-05-01T00:45:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.044808,1.634840,2021-05-01T00:50:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.037758,1.672598,2021-05-01T00:55:02Z
24d3440e-c786-49bd-b454-57049bb389ab,0.045395,1.717993,2021-05-01T01:01:10Z
24d3440e-c786-49bd-b454-57049bb389ab,0.030557,1.748550,2021-05-01T01:05:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.047274,1.795824,2021-05-01T01:10:02Z
24d3440e-c786-49bd-b454-57049bb389ab,0.053987,1.849811,2021-05-01T01:15:04Z
24d3440e-c786-49bd-b454-57049bb389ab,0.051353,1.901164,2021-05-01T01:20:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.044465,1.945629,2021-05-01T01:25:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.042229,1.987858,2021-05-01T01:30:04Z
24d3440e-c786-49bd-b454-57049bb389ab,0.036783,2.024641,2021-05-01T01:35:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.035795,2.060436,2021-05-01T01:40:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.038094,2.098530,2021-05-01T01:45:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.043719,2.142249,2021-05-01T01:50:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.045521,2.187770,2021-05-01T01:55:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.075699,2.263469,2021-05-01T02:03:14Z
24d3440e-c786-49bd-b454-57049bb389ab,0.019942,2.283411,2021-05-01T02:05:02Z
24d3440e-c786-49bd-b454-57049bb389ab,0.044230,2.327641,2021-05-01T02:10:02Z
24d3440e-c786-49bd-b454-57049bb389ab,0.044055,2.371696,2021-05-01T02:15:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.042251,2.413947,2021-05-01T02:20:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.038178,2.452125,2021-05-01T02:25:05Z
24d3440e-c786-49bd-b454-57049bb389ab,0.058660,2.510785,2021-05-01T02:31:17Z
24d3440e-c786-49bd-b454-57049bb389ab,0.036918,2.547703,2021-05-01T02:35:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.045150,2.592853,2021-05-01T02:40:02Z
24d3440e-c786-49bd-b454-57049bb389ab,0.041458,2.634311,2021-05-01T02:45:05Z
24d3440e-c786-49bd-b454-57049bb389ab,0.039269,2.673580,2021-05-01T02:50:02Z
24d3440e-c786-49bd-b454-57049bb389ab,0.037593,2.711173,2021-05-01T02:55:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.090603,2.801776,2021-05-01T03:05:11Z
24d3440e-c786-49bd-b454-57049bb389ab,0.051969,2.853745,2021-05-01T03:10:02Z
24d3440e-c786-49bd-b454-57049bb389ab,0.054874,2.908619,2021-05-01T03:15:10Z
24d3440e-c786-49bd-b454-57049bb389ab,0.048938,2.957557,2021-05-01T03:20:07Z
24d3440e-c786-49bd-b454-57049bb389ab,0.035959,2.993516,2021-05-01T03:25:08Z
24d3440e-c786-49bd-b454-57049bb389ab,0.038211,3.031727,2021-05-01T03:30:04Z
24d3440e-c786-49bd-b454-57049bb389ab,0.039602,3.071329,2021-05-01T03:35:02Z
24d3440e-c786-49bd-b454-57049bb389ab,0.038686,3.110015,2021-05-01T03:40:02Z
24d3440e-c786-49bd-b454-57049bb389ab,0.045539,3.155554,2021-05-01T03:45:05Z
24d3440e-c786-49bd-b454-57049bb389ab,0.046301,3.201855,2021-05-01T03:50:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.046981,3.248836,2021-05-01T03:55:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.083569,3.332405,2021-05-01T04:05:02Z
24d3440e-c786-49bd-b454-57049bb389ab,0.043727,3.376132,2021-05-01T04:10:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.043561,3.419693,2021-05-01T04:15:08Z
24d3440e-c786-49bd-b454-57049bb389ab,0.047317,3.467010,2021-05-01T04:20:07Z
24d3440e-c786-49bd-b454-57049bb389ab,0.054737,3.521747,2021-05-01T04:26:10Z
24d3440e-c786-49bd-b454-57049bb389ab,0.037583,3.559330,2021-05-01T04:30:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.054002,3.613332,2021-05-01T04:36:07Z
24d3440e-c786-49bd-b454-57049bb389ab,0.030560,3.643892,2021-05-01T04:40:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.036739,3.680631,2021-05-01T04:45:02Z
24d3440e-c786-49bd-b454-57049bb389ab,0.039761,3.720392,2021-05-01T04:50:04Z
24d3440e-c786-49bd-b454-57049bb389ab,0.042262,3.762654,2021-05-01T04:55:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.074040,3.836694,2021-05-01T05:01:12Z
24d3440e-c786-49bd-b454-57049bb389ab,0.070459,3.907153,2021-05-01T05:05:02Z
24d3440e-c786-49bd-b454-57049bb389ab,0.094008,4.001161,2021-05-01T05:10:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.083301,4.084462,2021-05-01T05:15:04Z
24d3440e-c786-49bd-b454-57049bb389ab,0.081137,4.165599,2021-05-01T05:20:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.080713,4.246312,2021-05-01T05:25:02Z
24d3440e-c786-49bd-b454-57049bb389ab,0.081670,4.327982,2021-05-01T05:30:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.065617,4.393599,2021-05-01T05:35:02Z
24d3440e-c786-49bd-b454-57049bb389ab,0.058985,4.452584,2021-05-01T05:40:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.064683,4.517267,2021-05-01T05:45:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.062039,4.579306,2021-05-01T05:50:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.049324,4.628630,2021-05-01T05:55:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.065018,4.693648,2021-05-01T06:01:08Z
24d3440e-c786-49bd-b454-57049bb389ab,0.040618,4.734266,2021-05-01T06:05:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.052998,4.787264,2021-05-01T06:10:02Z
24d3440e-c786-49bd-b454-57049bb389ab,0.056883,4.844147,2021-05-01T06:15:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.055837,4.899984,2021-05-01T06:20:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.058493,4.958477,2021-05-01T06:25:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.053113,5.011590,2021-05-01T06:30:04Z
24d3440e-c786-49bd-b454-57049bb389ab,0.047079,5.058669,2021-05-01T06:35:02Z
24d3440e-c786-49bd-b454-57049bb389ab,0.048903,5.107572,2021-05-01T06:40:02Z
24d3440e-c786-49bd-b454-57049bb389ab,0.046090,5.153662,2021-05-01T06:45:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.055444,5.209106,2021-05-01T06:50:02Z
24d3440e-c786-49bd-b454-57049bb389ab,0.066118,5.275224,2021-05-01T06:55:02Z
24d3440e-c786-49bd-b454-57049bb389ab,0.078438,5.353662,2021-05-01T07:01:09Z
24d3440e-c786-49bd-b454-57049bb389ab,0.046042,5.399704,2021-05-01T07:05:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.048876,5.448580,2021-05-01T07:10:02Z
24d3440e-c786-49bd-b454-57049bb389ab,0.064570,5.513150,2021-05-01T07:15:05Z
24d3440e-c786-49bd-b454-57049bb389ab,0.147739,5.660889,2021-05-01T07:20:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.185894,5.846783,2021-05-01T07:25:04Z
24d3440e-c786-49bd-b454-57049bb389ab,0.068323,5.915106,2021-05-01T07:30:05Z
24d3440e-c786-49bd-b454-57049bb389ab,0.068695,5.983801,2021-05-01T07:35:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.069147,6.052948,2021-05-01T07:40:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.054483,6.107431,2021-05-01T07:45:04Z
24d3440e-c786-49bd-b454-57049bb389ab,0.046212,6.153643,2021-05-01T07:50:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.045154,6.198797,2021-05-01T07:55:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.056444,6.255241,2021-05-01T08:01:12Z
24d3440e-c786-49bd-b454-57049bb389ab,0.041931,6.297172,2021-05-01T08:05:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.056671,6.353843,2021-05-01T08:10:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.057434,6.411277,2021-05-01T08:15:04Z
24d3440e-c786-49bd-b454-57049bb389ab,0.059172,6.470449,2021-05-01T08:20:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.053898,6.524347,2021-05-01T08:25:02Z
24d3440e-c786-49bd-b454-57049bb389ab,0.052300,6.576647,2021-05-01T08:30:04Z
24d3440e-c786-49bd-b454-57049bb389ab,0.049682,6.626329,2021-05-01T08:35:04Z
24d3440e-c786-49bd-b454-57049bb389ab,0.048099,6.674428,2021-05-01T08:40:02Z
24d3440e-c786-49bd-b454-57049bb389ab,0.055396,6.729824,2021-05-01T08:45:02Z
24d3440e-c786-49bd-b454-57049bb389ab,0.054174,6.783998,2021-05-01T08:50:02Z
24d3440e-c786-49bd-b454-57049bb389ab,0.057655,6.841653,2021-05-01T08:55:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.071372,6.913025,2021-05-01T09:01:15Z
24d3440e-c786-49bd-b454-57049bb389ab,0.155502,7.068527,2021-05-01T09:05:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.242696,7.311223,2021-05-01T09:10:04Z
24d3440e-c786-49bd-b454-57049bb389ab,0.086996,7.398219,2021-05-01T09:15:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.079033,7.477252,2021-05-01T09:20:02Z
24d3440e-c786-49bd-b454-57049bb389ab,0.091832,7.569084,2021-05-01T09:25:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.091244,7.660328,2021-05-01T09:30:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.087729,7.748057,2021-05-01T09:35:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.078930,7.826987,2021-05-01T09:40:02Z
24d3440e-c786-49bd-b454-57049bb389ab,0.079858,7.906845,2021-05-01T09:45:04Z
24d3440e-c786-49bd-b454-57049bb389ab,0.081205,7.988050,2021-05-01T09:50:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.056521,8.044571,2021-05-01T09:55:03Z
24d3440e-c786-49bd-b454-57049bb389ab,0.072592,8.117163,2021-05-01T10:01:08Z
